harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
490000000.0,Sleman,90,100,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
780293930.0,Sleman,60,90,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 780,29393 jt",Sleman,84,100,3,2,1300,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
1799000000.0,Sleman,84,100,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1799000000.0,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
845009900.0,Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 845,0099 jt",Sleman,80,124,4,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1908700202.0,Kulon Progo,60,112,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1799000000.0,Sleman,80,98,3,2,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2885500000.0,Sleman,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
"Rp 2,8855 M",Sleman,179,212,10,10,3500,Tak Berperabot,6.0,SHM - Sertifikat Hak Milik
"Rp 1,7 M",Sleman,174,197,6,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2500000000.0,Yogyakarta,79,79,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
665000000.0,Yogyakarta,185,114,3,2,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1799000000.0,Sleman,65,101,2,1,1300,Sebagian,1.0,SHM - Sertifikat Hak Milik
7000000000.0,Yogyakarta,270,150,10,10,2200,Sebagian,3.0,SHM - Sertifikat Hak Milik
Rp 665 jt,Sleman,45,105,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,799 M",Bantul,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
523456000.0,Yogyakarta,700,300,10,10,5500,Lengkap,5.0,SHM - Sertifikat Hak Milik
1300000000.0,Bantul,55,78,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1300000000.0,Sleman,36,62,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 523,456 jt",Bantul,55,105,3,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
407001000.0,Yogyakarta,140,180,4,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
485000000.0,Yogyakarta,140,180,4,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1799000000.0,Sleman,50,109,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
300000000.0,Bantul,59,82,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
691000000.0,Sleman,51,96,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,799 M",Yogyakarta,154,130,3,3,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 300 jt,Sleman,36,80,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 691 jt,Sleman,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2337300000.0,Bantul,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2295300000.0,Sleman,36,60,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2091524999.9999998,Sleman,36,66,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
380000000.0,Sleman,110,236,4,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
